Member,Order,Other Sauces,Cashews,Other Dals,Namkeen,Sugar,Banana,Sugar Cubes,Other Sweets,Other Rice Products,Utensil Scrub Pads,Toor Dal,Buns & Pavs,Cakes,Boiled Rice,Urad Dal,Jaggery,Raisins,Chips,Almonds,Root Vegetables,Other Vegetables,Moong Dal,Healthy Snacks,Raw Peanuts,Mosquito Repellent,Whole Spices,Soya Products,Beans,Health Drinks,Liquid Soaps & Bars,Washing Bars,Ghee,Organic F&V,Sunflower Oils,Shoe Polish,Cream Biscuits,Cookies,Snacky Nuts,Avalakki / Poha,Besan,Raw Rice,Powdered Spices,Eggs,Corn Snacks,Bread,Instant Noodles,Sooji & Rava,Gourd & Cucumber,"Shaving Cream, Foam & Gels",Brinjals,Hair Oil,Ground Coffee,Other Dry Fruits,Basmati Rice,Face Wash,Yogurt & Lassi,Wafers,Instant Pastas,Cooking Paste,Other Flours,Shaving Brush,Chilli & Soya Sauces,Vermicelli,"Glucose, Marie & Milk Biscuits",Diapers & Wipes,Tomato Ketchup,Organic Rice & Rice Products,Other Oils,Hair Conditioner,Other Insect Repellent,Cut Vegetables,Health Supplements,Other Pooja Needs,Cleaning & Dust Cloth,Rice Flour,Maida,Organic Flours,Regular Pasta,"Organic Salt,Sugar & Jaggery",Bottle & Tin Openers,Whole Grains,Hand Wash,Exotic Vegetables,Shampoo,Chinese Noodles,Olive Oils,Liquid Detergent,Hair Colors & Dyes,Shaving Blade & Razors,Ice Creams & Desserts,Vinegar,Ladles & Spatulas,Ready Mix,Aluminium Foil & Cling Wrap,"Muffins, Cookies & Rusk",Packaged Drinking Water,Agarbatti,Bakery & Breads,Other Spreads,Face Cream,Healthy & Digestive Biscuits,Face Packs & Scrubs,Curd,Cotton & Bandages,Oats,Honey,Toothpaste,Organic Masalas & Spices,Rodent Control,Butter & Cream,Ready Baking Mixes,Frozen Seafood,Mango Juices,Pasta & Noodles,Biscuits,Ready To Eat & Cook,Milk Drinks,Tissue Paper & Napkins,Lip Care,Organic Dals & Pulses,Rasagulla & Gulab Jamun,Facial Tissues,Milk,Salty Biscuits,Ice Cream,Cooking Sauce,Organic Dry Fruits,Veg & Fruit,Phenyles & Acids,Mustard Oils,Home & Air Freshener,Pain Relievers,Organic Branded Foods,Flakes,Mouthwash,Mens Deo,Toilet Cleaners,Jams & Sauces,Ayurvedic,Soup,Ayurvedic Food,Sanitary Pads,Cutlery,Tomato Sauce,Vanaspati,Other Jams,Pet Food,Hand Sanitizer,Floor Cleaners,Frozen Veg Food,Pre & Post Wash Care,Baking Ingredients,Glass Cleaners,CFLS,Childrens Books,Chewing gum,Cheese,Channa dal,Frozen Chicken,Toilet Cleaning,Brushes & Scrubbers,Brooms & Dust Pans,Toffee & Candy,Energy Drinks,Other Pickle,Buttermilk,Other Juices,Other Soft Drinks,Car Shampoo & Wax,Antiseptics,Grooming,Energy Powders,Organic Juices,Soups,Baby Cereal,Baby Care Accessories,Beverages,Foot Care,Snacks & Sweets,Organic Baby Foods,Exam Boards,Car Freshener,"Scissors, Glue & Tape",Womens Deo,Office Stationery,Ready Masalas,Body Wash,Fertilizers & Pesticides,Paneer & Tofu,Organic Breakfast Cereals,Green Tea,Drain Cleaners,Toilet Paper,Groundnut Oils,Mixed Fruit Jam,Fryums & Papad,Disposable Plates & Utensils,Containers,Colours ,"Cutters, Peelers & Scrapers",Battery,Chocolate,Tea,Festive Gift Packs,Organic Edible Oils & Ghee,After Shave,Dairy & Cheese,Heat & Eat Ready Meals,Festive Gift Pack,Mukhwas & Mouth Freshener,Sanitary Aids,Pens ,Mango Pickle,Magazine,Printer Cartridges & Printing Paper,Body Lotion,Talc,Eye Care & Kajal,Cookery Books,Dishwash Liquids & Pastes
M04158,6755145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,6763407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,6785498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,6807524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,7348982,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,7357231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,7368396,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,7376918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,7381659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M04158,7385672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
